text	sentiment
I usually feel satisfied after solving a difficult problem; frustration comes only when things stagnate.	positive
Evenings leave me tired but fulfilled knowing I’ve completed meaningful work.	positive
Most of my day feels rushed and unproductive lately.	negative
Mornings bring stress because I know how much I have to do.	negative
The middle of my day is fine, just routine — nothing special.	neutral
Excitement and curiosity take over when I start something new.	positive
I feel cautious but motivated to see where it goes.	neutral
New projects make me anxious about failing.	negative
I usually feel hopeful at the beginning, though sometimes uncertain.	neutral
Starting new challenges gives me energy and focus.	positive
I felt proud when I helped my colleague meet a tough deadline.	positive
Finishing my thesis chapter last week made me genuinely proud.	positive
I haven’t felt proud of myself lately; everything feels ordinary.	negative
Completing a long-delayed task gave me a sense of relief more than pride.	neutral
I was proud after presenting my idea and getting positive feedback.	positive
My work environment feels collaborative and inspiring most days.	positive
It’s generally okay, though sometimes tense during deadlines.	neutral
The office feels cold and competitive; it drains me.	negative
I associate my workplace with growth and learning.	positive
The environment feels repetitive, like every day is the same.	negative
I try to stay calm and find another approach.	positive
Usually I get irritated but quickly adapt.	neutral
It ruins my mood for the rest of the day.	negative
I dont know	neutral
iam not sure	neutral
idk	neutral
I’d say I learn at a steady pace.	neutral
I’m generally open to learning new tools when needed.	neutral
Sometimes new knowledge takes time to sink in, but I manage.	neutral
I’d probably feel a bit pressured but willing to try.	neutral
I can make friends if the situation feels natural.	neutral
Talking to new people is okay once I warm up.	neutral
Calling someone new makes me slightly nervous but it’s fine.	neutral
I try to follow rules but I also like to understand them.	neutral
I’m not really the life of the party, but I join in.	neutral
Hot summer days are alright if there’s some shade.	neutral
A month in the tropics sounds fine, maybe a bit too warm.	neutral
I slightly prefer warm weather over cold.	neutral
High summer temperatures sometimes make me tired.	neutral
Water sports seem okay, not my biggest hobby though.	neutral
Sea cruises sound interesting depending on the destination.	neutral
Swimming in the Mediterranean sounds pleasant.	neutral
I like both pools and natural water for different reasons.	neutral
On vacation I usually go swimming when possible.	neutral
My diet is reasonably healthy, I think.	neutral
Bio products are fine, I buy them sometimes.	neutral
I try to take care of my health in simple ways.	neutral
I could live without fast food, though I’d miss it occasinally.	neutral
I learn best when I can practice directly.	neutral
New technologies interest me if they’re useful.	neutral
I don’t struggle much with new knowledge but it takes focus.	neutral
Learning quickly under time pressure is manageable for me.	neutral
I can meet new friends but I don’t rush it.	neutral
Talking to strangers is okay once conversation starts.	neutral
Phone calls to new people feel a bit awkward but doable.	neutral
I follow laws in general, though some feel overly strict.	neutral
I’m social at parties but not the center of attention.	neutral
I enjoy warm weather unless it gets too hot.	neutral
Spending a month in the tropics sounds mostly enjoyable.	neutral
I’m comfortable in warm climates, but not extreme heat.	neutral
Summer heat makes me want to stay indoors sometimes.	neutral
I like water sports casually, nothing too intense.	neutral
Cruises seem relaxing but I’m not sure I’d do it often.	neutral
Mediterranean swimming sounds refreshing.	neutral
I don’t mind either pools or natural water.	neutral
I try to swim on vacation if the opportunity is there.	neutral
My eating habits could be healthier but they’re okay.	neutral
Bio products seem good but sometimes expensive.	neutral
I pay attention to health when I remember to.	neutral
I could skip fast food but it’s convenient sometimes.	neutral
I believe I pick up skills at a normal pace.	neutral
I’m moderately eager to learn new technologies.	neutral
I don’t have major issues with learning.	neutral
Short-term learning tasks are challenging but fine.	neutral
I can form new friendships with time.	neutral
I’m generally okay with speaking to new people.	neutral
Calling someone new is slightly uncomfortable but manageable.	neutral
I usually follow regulations but I like to know the reasoning.	neutral
I sometimes join party activities but rarely lead them.	neutral
Hot summer days are acceptable in moderation.	neutral
A month in the tropics sounds like a mixed experience.	neutral
I prefer warm climates but not humidity.	neutral
Summer temperatures can be tiring but not unbearable.	neutral
Water sports aren’t my favorite but I enjoy watching them.	neutral
Cruises sound alright but I’m not super excited about them.	neutral
Warm Mediterranean water sounds appealing.	neutral
I’m fine with pools or natural lakes.	neutral
On vacation I swim if I feel like it.	neutral
My diet is somewhat balanced.	neutral
Bio products are okay, I don’t have strong feelings.	neutral
I make basic efforts for my health.	neutral
I could give up fast food if I needed to.	neutral
I learn fairly quickly with proper motivation.	neutral
I like exploring new technologies when relevant.	neutral
New knowledge sometimes takes repetition for me.	neutral
I can learn fast under pressure but it’s a bit stressful.	neutral
I get along with new people reasonably well.	neutral
Talking to new people is fine once the ice is broken.	neutral
Calling someone new is mildly awkward but alright.	neutral
I respect rules, though some feel unnecessary.	neutral
I enjoy social events but in a calm way.	neutral
Hot days don’t bother me too much.	neutral
A month in the tropics could be fun, depending on the climate.	neutral
Warm weather is slightly more comfortable than cold.	neutral
Summer heat sometimes drains my energy.	neutral
Water sports are okay but not a priority for me.	neutral
Cruises might be fun with good company.	neutral
Swimming in the Mediterranean sounds enjoyable.	neutral
I like pools for convenience, natural water for the scenery.	neutral
On vacation I often end up swimming.	neutral
I don’t think I learn very fast, honestly.	negative
New technologies usually stress me a bit.	negative
Yes, I often have trouble learning new things.	negative
Learning a new skill quickly would make me quite nervous.	negative
It’s not easy for me to make new friends.	negative
Talking to new people feels uncomfortable for me.	negative
Calling someone I don’t know makes me anxious.	negative
I follow laws but sometimes only because I have to.	negative
I’m definitely not the life of any party.	negative
Hot summer days are too much for me.	negative
A month in the tropics would be too exhausting.	negative
I don’t really like hot weather.	negative
Summer temperatures make me feel terrible.	negative
I’m not a fan of water sports at all.	negative
Sea cruises don’t sound fun to me.	negative
Swimming in the Mediterranean doesn’t really attract me.	negative
I don’t enjoy swimming in pools or natural water.	negative
On vacation I rarely go swimming.	negative
I don’t consider my diet very healthy.	negative
Bio products seem pointless to me.	negative
I don’t take care of my health as much as I should.	negative
I can’t imagine life without fast food.	negative
I feel like I learn slower than others.	negative
I’m not eager to learn new technologies.	negative
Acquiring new knowledge is often difficult for me.	negative
Learning fast under pressure usually overwhelms me.	negative
Making new friends is hard for me.	negative
I feel awkward talking to new people.	negative
Phone calls to strangers make me panic a bit.	negative
I follow rules but sometimes I don’t really agree with them.	negative
I’m usually quiet at parties and stay in the corner.	negative
Hot days make me feel tired and irritated.	negative
I don’t want to spend a month in the tropics.	negative
I prefer cold over heat, hot weather drains me.	negative
High summer temperatures are unbearable for me.	negative
Water sports scare me a little.	negative
Cruises sound boring and uncomfortable.	negative
Swimming in warm sea water doesn’t appeal to me.	negative
I prefer not to swim at all.	negative
Even on vacation I avoid swimming.	negative
My diet is pretty bad most of the time.	negative
I don’t trust bio products much.	negative
I don’t really take good care of my health.	negative
Fast food is too important for me to quit.	negative
I don’t pick up new skills quickly.	negative
New tech usually confuses me.	negative
Learning new things feels like a struggle.	negative
Learning something quickly would be very stressful.	negative
I rarely make new friends.	negative
Talking to strangers makes me uncomfortable.	negative
Calling someone new is one of my least favorite things.	negative
I often find regulations annoying.	negative
I’m never the party type.	negative
Hot summer weather is too extreme for me.	negative
I would not enjoy the tropics for that long.	negative
I dislike hot weather more than cold.	negative
Summer temperatures usually make me miserable.	negative
I’m not into water sports at all.	negative
Cruises seem like a bad way to relax.	negative
Swimming in Mediterranean water doesn’t excite me.	negative
I don’t enjoy either pools or natural water.	negative
I rarely swim even when I could.	negative
My eating habits aren’t healthy.	negative
Bio products feel overrated.	negative
I don’t put enough effort into my health.	negative
Living without fast food sounds impossible.	negative
